20,-47
20,-47
20,-46
20,-47
20,-47
20,-44
20,-47
20,-47
20,-47
20,-44
20,-44
20,-44
20,-47
20,-47
20,-46
20,-47
20,-47
20,-47
20,-44
20,-44
20,-47
20,-47
20,-47
20,-47
20,-47
20,-47
20,-47
20,-44
20,-47
20,-47
20,-47
20,-47
20,-47
20,-44
20,-47
20,-47
20,-47
20,-47
20,-47
20,-47
20,-44
20,-44
300,-66
300,-80
300,-81
300,-78
300,-79
300,-74
300,-66
300,-67
300,-83
300,-68
300,-80
300,-68
300,-81
300,-76
300,-71
300,-53
300,-67
300,-64
300,-66
300,-76
300,-75
300,-90
300,-90
300,-69
300,-80
300,-84
300,-87
300,-69
300,-69
300,-80
300,-78
300,-80
300,-80
300,-69
300,-69
300,-81
300,-79
300,-86
300,-86
300,-87
300,-77
300,-87
300,-69
300,-77
300,-77
300,-89
300,-68
300,-69
300,-69
300,-75
300,-85
300,-89
300,-85
300,-86
300,-85
300,-84
300,-70
300,-70
300,-81
300,-84
300,-70
300,-84
300,-70
300,-83
300,-82
300,-80
300,-88
300,-69
300,-70
300,-69
300,-83
300,-86
300,-85
300,-89
300,-93
300,-69
300,-68
300,-93
300,-68
300,-78
300,-78
300,-78
300,-78
300,-66
300,-65
300,-78
300,-84
300,-77
300,-78
300,-69
300,-74
300,-69
300,-74
300,-75
300,-69
300,-75
300,-75
300,-69
300,-76
300,-76
300,-68
300,-69
300,-69
300,-75
300,-68
300,-76
300,-69
300,-76
300,-76
300,-76
300,-76
300,-69
300,-77
300,-67
300,-69
300,-69
300,-76
300,-69
300,-69
300,-80
300,-76
300,-76
300,-67
300,-69
300,-69
300,-68
300,-76
300,-68
300,-67
300,-68
300,-83
300,-76
300,-68
300,-68
300,-81
300,-76
300,-68
300,-83
300,-80
300,-77
300,-68
300,-68
300,-68
300,-80
300,-77
300,-77
300,-77
300,-68
300,-76
300,-77
300,-68
300,-68
300,-78
300,-77
300,-67
300,-68
300,-77
300,-79
300,-78
300,-78
290,-69
290,-70
290,-72
290,-72
290,-71
290,-69
290,-73
290,-72
290,-72
290,-75
290,-72
290,-73
290,-74
290,-73
290,-73
290,-75
290,-75
290,-74
290,-72
290,-72
290,-71
290,-73
290,-71
290,-72
290,-70
290,-71
290,-71
290,-71
290,-71
290,-71
290,-72
290,-72
290,-71
290,-73
290,-70
290,-70
290,-72
290,-70
290,-70
290,-69
290,-70
290,-69
290,-73
290,-72
290,-71
290,-73
290,-72
290,-72
290,-72
290,-71
290,-71
290,-72
290,-72
290,-72
290,-73
290,-73
290,-71
290,-71
290,-72
290,-73
290,-71
290,-71
290,-71
290,-71
290,-70
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-72
290,-71
290,-71
290,-71
290,-70
290,-70
290,-71
290,-71
290,-70
290,-71
290,-71
290,-71
290,-71
290,-72
290,-71
290,-71
290,-70
290,-71
290,-71
290,-72
290,-71
290,-71
290,-71
290,-70
290,-71
290,-70
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-71
290,-70
290,-71
290,-72
290,-72
290,-72
290,-72
290,-71
290,-70
290,-71
290,-72
290,-70
290,-71
290,-71
290,-70
290,-72
290,-69
290,-71
290,-69
290,-70
290,-71
290,-71
290,-71
290,-69
290,-70
290,-71
290,-71
290,-72
290,-70
290,-70
290,-70
290,-71
290,-72
290,-71
290,-71
290,-71
290,-72
290,-72
290,-70
290,-71
290,-71
290,-72
290,-69
290,-70
290,-72
290,-73
290,-69
290,-71
290,-72
290,-72
290,-72
280,-72
280,-72
280,-74
280,-70
280,-69
280,-72
280,-75
280,-75
280,-70
280,-73
280,-77
280,-71
280,-70
280,-75
280,-74
280,-75
280,-77
280,-70
280,-69
280,-74
280,-71
280,-68
280,-72
280,-72
280,-75
280,-74
280,-70
280,-71
280,-72
280,-72
280,-74
280,-70
280,-70
280,-71
280,-73
280,-74
280,-74
280,-71
280,-70
280,-73
280,-70
280,-73
280,-74
280,-73
280,-74
280,-71
280,-72
280,-73
280,-73
280,-70
280,-73
280,-73
280,-70
280,-73
280,-73
280,-73
280,-73
280,-70
280,-69
280,-70
280,-73
280,-73
280,-73
280,-70
280,-72
280,-73
280,-73
280,-73
280,-71
280,-71
280,-73
280,-74
280,-73
280,-73
280,-70
280,-73
280,-73
280,-72
280,-72
280,-72
280,-75
280,-69
280,-69
280,-72
280,-72
280,-72
280,-75
280,-75
280,-70
280,-72
280,-72
280,-73
280,-72
280,-74
280,-74
280,-70
280,-69
280,-74
280,-74
280,-74
280,-69
280,-70
280,-70
280,-69
280,-74
280,-74
280,-69
280,-70
280,-72
280,-73
280,-74
280,-73
280,-69
280,-73
280,-73
280,-73
280,-69
