x,y,b1,b2,b3
3,1,-59,-44,-57
3,1,-59,-44,-66
3,1,-59,-54,-66
3,1,-72,-54,-66
3,1,-72,-32,-66
3,1,-71,-32,-66
3,1,-71,-32,-52
3,1,-71,-44,-52
3,1,-71,-44,-52
3,1,-71,-44,-62
3,1,-71,-34,-62
3,1,-71,-34,-72
3,1,-71,-55,-72
3,1,-71,-55,-63
3,1,-71,-54,-63
3,1,-71,-54,-68
3,1,-71,-51,-68
3,1,-68,-51,-68
3,1,-68,-51,-65
3,1,-68,-41,-65
3,1,-73,-41,-65
3,1,-73,-41,-60
3,1,-73,-51,-60
3,1,-73,-51,-50
3,1,-73,-51,-50
3,1,-75,-51,-50
3,1,-75,-51,-43
3,1,-71,-51,-43
3,1,-71,-47,-43
3,1,-70,-47,-43
3,1,-70,-47,-42
3,1,-59,-47,-42
3,1,-59,-38,-42
3,1,-59,-38,-54
3,1,-59,-36,-54
3,1,-59,-36,-53
3,1,-55,-36,-53
3,1,-55,-39,-53
3,1,-71,-39,-53
3,1,-71,-48,-53
3,1,-71,-48,-58
3,1,-71,-57,-58
3,1,-73,-57,-58
3,1,-73,-57,-67
3,1,-55,-57,-67
3,1,-55,-57,-50
3,1,-63,-57,-50
3,1,-63,-65,-50
3,1,-63,-65,-47
3,1,-72,-65,-47
3,1,-72,-58,-47
3,1,-72,-58,-51
3,1,-67,-58,-51
3,1,-67,-58,-40
3,1,-67,-34,-40
3,1,-67,-34,-42
3,1,-57,-34,-42
3,1,-50,-34,-42
3,1,-50,-65,-42
3,1,-50,-65,-55
3,1,-58,-65,-55
3,1,-58,-48,-55
3,1,-58,-40,-55
3,1,-58,-40,-63
3,1,-60,-40,-63
3,1,-60,-40,-55
3,1,-70,-40,-55
3,1,-70,-53,-55
3,1,-51,-53,-55
3,1,-51,-58,-55
3,1,-68,-58,-55
3,1,-68,-58,-54
3,1,-67,-58,-54
3,1,-67,-59,-54
3,1,-67,-59,-44
3,1,-71,-59,-44
3,1,-71,-62,-44
3,1,-71,-62,-61
3,1,-53,-62,-61
3,1,-53,-62,-63
3,1,-69,-62,-63
3,1,-64,-62,-63
3,1,-64,-62,-50
3,1,-64,-52,-50
3,1,-64,-52,-67
3,1,-64,-48,-67
3,1,-67,-48,-67
3,1,-67,-48,-43
3,1,-70,-48,-43
3,1,-70,-58,-43
3,1,-70,-58,-62
3,1,-70,-58,-53
3,1,-66,-58,-53
3,1,-66,-44,-53
3,1,-71,-44,-53
3,1,-71,-43,-53
3,1,-71,-55,-53
3,1,-71,-55,-64
3,1,-71,-57,-64
3,1,-71,-57,-40
3,1,-71,-50,-40
3,1,-71,-50,-66
3,1,-65,-50,-66
3,1,-65,-55,-66
3,1,-65,-55,-56
3,1,-70,-55,-56
3,1,-70,-55,-56
3,1,-56,-55,-56
3,1,-56,-61,-56
3,1,-56,-61,-54
3,1,-64,-61,-54
3,1,-64,-40,-54
3,1,-64,-40,-56
3,1,-48,-40,-56
3,1,-48,-40,-48
3,1,-66,-40,-48
3,1,-66,-57,-48
3,1,-66,-57,-45
3,1,-66,-57,-83
3,1,-67,-57,-83
3,1,-67,-57,-83
3,1,-67,-57,-41
3,1,-50,-57,-41
3,1,-50,-62,-41
3,1,-50,-62,-62
3,1,-53,-62,-62
3,1,-53,-57,-62
3,1,-53,-57,-51
3,1,-62,-57,-51
3,1,-62,-63,-51
3,1,-62,-63,-49
3,1,-53,-63,-49
3,1,-53,-56,-49
3,1,-53,-56,-52
3,1,-53,-56,-53
3,1,-53,-55,-53
3,1,-53,-55,-42
3,1,-47,-55,-42
3,1,-47,-47,-42
3,1,-47,-47,-57
3,1,-47,-44,-57
3,1,-61,-44,-57
3,1,-61,-83,-57
3,1,-61,-83,-58
3,1,-61,-56,-58
3,1,-50,-56,-58
3,1,-50,-49,-58
3,1,-50,-49,-43
3,1,-62,-49,-43
3,1,-62,-52,-43
3,1,-65,-52,-43
3,1,-65,-47,-43
3,1,-65,-47,-53
3,1,-46,-47,-53
3,1,-46,-46,-53
3,1,-46,-46,-51
3,1,-64,-46,-51
3,1,-64,-42,-51
3,1,-64,-42,-56
3,1,-60,-42,-56
3,1,-60,-42,-45
3,1,-66,-42,-45
3,1,-66,-61,-45
3,1,-66,-61,-71
3,1,-60,-61,-71
3,1,-60,-65,-71
3,1,-60,-65,-58
3,1,-62,-65,-58
3,1,-62,-43,-58
3,1,-62,-43,-56
3,1,-60,-43,-56
3,1,-60,-43,-54
3,1,-61,-43,-54
3,1,-61,-56,-54
3,1,-61,-56,-63
3,1,-61,-56,-48
3,1,-48,-56,-48
3,1,-48,-41,-48
3,1,-48,-41,-47
3,1,-61,-41,-47
3,1,-61,-41,-48
3,1,-61,-41,-48
3,1,-61,-41,-40
3,1,-63,-41,-40
3,1,-63,-59,-40
3,1,-63,-59,-37
3,1,-46,-59,-37
3,1,-46,-43,-37
3,1,-46,-43,-73
3,1,-50,-43,-73
3,1,-50,-40,-73
3,1,-50,-40,-63
3,1,-62,-40,-63
3,1,-62,-58,-63
3,1,-62,-58,-47
3,1,-49,-58,-47
3,1,-49,-44,-47
3,1,-49,-44,-64
3,1,-58,-44,-64
3,1,-58,-62,-64
3,1,-58,-62,-57
3,1,-48,-62,-57
3,1,-48,-57,-57
3,1,-51,-57,-57
3,1,-51,-53,-57
3,1,-51,-53,-41
3,1,-46,-53,-41
3,1,-46,-53,-46
3,1,-46,-53,-54
3,1,-58,-53,-54
3,1,-58,-53,-43
3,1,-58,-53,-41
3,1,-58,-53,-41
3,1,-58,-66,-41
3,1,-58,-66,-57
3,1,-58,-66,-51
3,1,-52,-66,-51
3,1,-52,-67,-51
3,1,-52,-50,-51
3,1,-50,-50,-51
3,1,-50,-62,-51
3,1,-50,-62,-46
3,1,-70,-62,-46
3,1,-70,-62,-46
3,1,-70,-62,-50
3,1,-55,-62,-50
3,1,-55,-44,-50
3,1,-55,-44,-54
3,1,-64,-44,-54
3,1,-64,-59,-54
3,1,-64,-59,-54
3,1,-58,-59,-54
3,1,-58,-59,-54
3,1,-58,-59,-50
3,1,-58,-59,-32
3,1,-52,-59,-32
3,1,-52,-57,-32
3,1,-52,-57,-51
3,1,-57,-57,-51
3,1,-57,-67,-51
3,1,-57,-67,-35
3,1,-63,-67,-35
3,1,-63,-46,-35
3,1,-63,-46,-54
3,1,-75,-46,-54
3,1,-75,-60,-54
3,1,-75,-60,-50
3,1,-62,-60,-50
3,1,-62,-65,-50
3,1,-62,-65,-46
3,1,-62,-61,-46
3,1,-62,-61,-35
3,1,-62,-62,-35
3,1,-62,-62,-56
3,1,-56,-62,-56
3,1,-75,-62,-56
3,1,-75,-62,-56
3,1,-57,-62,-56
3,1,-57,-46,-56
3,1,-57,-46,-51
3,1,-47,-46,-51
3,1,-47,-86,-51
3,1,-47,-86,-50
3,1,-47,-46,-50
3,1,-47,-46,-47
3,1,-59,-46,-47
3,1,-59,-61,-47
3,1,-59,-61,-51
3,1,-55,-61,-51
3,1,-55,-61,-34
3,1,-66,-61,-34
3,1,-66,-59,-34
3,1,-66,-59,-33
3,1,-70,-59,-33
3,1,-70,-56,-33
3,1,-70,-56,-37
3,1,-70,-48,-37
3,1,-47,-48,-37
3,1,-47,-48,-45
3,1,-49,-48,-45
3,1,-49,-60,-45
3,1,-49,-60,-53
3,1,-49,-60,-48
3,1,-64,-60,-48
3,1,-64,-60,-37
3,1,-61,-60,-37
3,1,-61,-47,-37
3,1,-43,-47,-37
3,1,-43,-47,-37
3,1,-48,-47,-37
3,1,-48,-49,-37
3,1,-48,-49,-49
3,1,-61,-49,-49
3,1,-49,-49,-49
3,1,-49,-44,-49
3,1,-49,-44,-52
3,1,-62,-44,-52
3,1,-62,-61,-52
3,1,-62,-61,-35
3,1,-51,-61,-35
3,1,-51,-61,-51
3,1,-46,-61,-51
3,1,-46,-61,-54
3,1,-46,-64,-54
3,1,-63,-64,-54
3,1,-63,-46,-54
3,1,-63,-46,-38
3,1,-47,-46,-38
3,1,-47,-46,-45
3,1,-53,-46,-45
3,1,-53,-54,-45
3,1,-53,-54,-35
3,1,-53,-71,-35
3,1,-53,-71,-41
3,1,-60,-71,-41
3,1,-60,-54,-41
3,1,-60,-54,-49
3,1,-50,-54,-49
3,1,-50,-60,-49
3,1,-50,-60,-54
3,1,-50,-64,-54
3,1,-50,-64,-36
3,1,-65,-64,-36
3,1,-65,-46,-36
3,1,-65,-46,-41
3,1,-65,-46,-41
3,1,-65,-46,-52
3,1,-63,-46,-52
3,1,-63,-44,-52
3,1,-48,-44,-52
3,1,-48,-44,-36
3,1,-59,-44,-36
3,1,-50,-44,-36
3,1,-50,-67,-36
3,1,-50,-67,-34
3,1,-50,-59,-34
3,1,-50,-59,-48
3,1,-65,-59,-48
3,1,-65,-63,-48
3,1,-65,-63,-33
3,1,-65,-52,-33
3,1,-65,-52,-47
3,1,-65,-52,-38
3,1,-65,-52,-38
3,1,-65,-70,-38
3,1,-65,-70,-32
3,1,-65,-67,-32
3,1,-65,-67,-46
3,1,-65,-67,-53
3,1,-65,-67,-53
3,1,-65,-67,-55
3,1,-67,-67,-55
3,1,-67,-55,-55
3,1,-67,-55,-39
3,1,-67,-54,-39
3,1,-67,-54,-35
3,1,-44,-54,-35
