dist,rssi
200,-64
200,-63
200,-62
200,-62
200,-69
200,-67
200,-63
200,-63
200,-64
200,-65
200,-70
200,-68
200,-65
200,-64
200,-61
200,-72
200,-70
200,-71
200,-69
200,-63
200,-72
200,-70
200,-63
200,-65
200,-67
200,-66
200,-64
200,-72
200,-72
200,-66
200,-67
200,-71
200,-71
200,-71
200,-67
200,-66
200,-62
200,-63
200,-75
200,-80
200,-85
200,-68
200,-68
200,-66
200,-75
200,-73
200,-66
200,-67
200,-62
200,-70
200,-64
200,-64
200,-65
200,-65
200,-67
200,-61
200,-62
200,-72
200,-73
200,-65
200,-63
200,-61
200,-76
200,-66
200,-64
200,-72
200,-71
200,-62
200,-68
200,-71
200,-66
200,-60
200,-73
200,-73
200,-65
200,-62
200,-70
200,-71
200,-66
200,-64
200,-63
200,-63
200,-71
200,-65
200,-66
200,-61
200,-72
200,-74
200,-73
200,-66
200,-63
200,-63
200,-72
200,-71
200,-68
200,-63
200,-64
200,-64
200,-73
200,-73
200,-67
200,-67
200,-63
200,-62
200,-63
200,-63
200,-74
200,-67
200,-62
200,-72
200,-66
200,-67
200,-62
200,-62
200,-74
200,-67
200,-67
200,-63
200,-63
200,-63
200,-64
200,-72
200,-75
200,-69
200,-62
200,-62
200,-61
200,-73
200,-65
200,-62
200,-70
200,-72
200,-72
200,-65
200,-67
200,-61
200,-67
200,-62
200,-63
200,-63
200,-76
200,-68
200,-63
200,-76
200,-75
250,-64
250,-63
250,-64
250,-63
250,-63
250,-63
250,-63
250,-66
250,-64
250,-64
250,-64
250,-67
250,-67
250,-67
250,-66
250,-62
250,-63
250,-67
250,-67
250,-63
250,-64
250,-63
250,-67
250,-67
250,-66
250,-67
250,-67
250,-64
250,-64
250,-68
250,-66
250,-65
250,-65
250,-67
250,-68
250,-66
250,-66
250,-67
250,-67
250,-68
250,-65
250,-65
250,-65
250,-65
250,-66
250,-67
250,-66
250,-65
250,-65
250,-66
250,-65
250,-66
250,-65
250,-64
250,-64
250,-64
250,-64
250,-63
250,-61
250,-63
250,-62
250,-62
250,-62
250,-62
250,-62
250,-62
250,-63
250,-63
250,-63
250,-63
250,-63
250,-63
250,-63
250,-62
250,-63
250,-63
250,-63
250,-63
250,-63
250,-63
250,-63
250,-62
250,-63
250,-64
250,-64
250,-63
250,-64
250,-63
250,-64
250,-63
250,-64
250,-64
250,-64
250,-65
250,-66
250,-63
250,-65
250,-64
250,-64
250,-65
250,-63
250,-64
250,-65
250,-64
250,-63
250,-63
250,-63
250,-64
250,-62
250,-64
250,-64
250,-64
250,-63
250,-63
250,-64
250,-66
250,-67
250,-63
250,-66
250,-66
250,-60
250,-61
250,-64
250,-66
250,-65
250,-62
250,-63
250,-68
250,-67
250,-68
250,-66
250,-66
250,-68
250,-67
250,-68
250,-67
250,-71
250,-65
250,-66
250,-65
250,-65
250,-69
250,-65
250,-68
250,-65
250,-68
250,-68
250,-64
250,-65
250,-67
250,-65
250,-70
250,-66
250,-67
250,-65
250,-66
250,-67
250,-64
250,-67
250,-64
250,-63
250,-67
250,-63
250,-67
250,-67
250,-63
250,-67
250,-67
250,-63
250,-62
250,-68
250,-63
250,-68
250,-68
250,-69
250,-66
250,-66
250,-64
250,-62
250,-69
250,-67
250,-62
250,-63
250,-68
250,-69
250,-68
250,-63
250,-64
250,-62
250,-68
250,-68
250,-68
250,-63
250,-62
250,-68
250,-69
250,-67
250,-69
250,-67
250,-63
250,-68
250,-69
250,-69
250,-63
250,-66
250,-63
250,-64
250,-63
250,-68
250,-68
250,-67
250,-65
250,-62
250,-70
250,-68
250,-67
250,-70
250,-64
250,-62
250,-63
250,-63
250,-70
250,-62
250,-68
250,-68
250,-68
250,-68
250,-69
250,-69
250,-62
250,-63
250,-62
250,-70
250,-71
250,-70
250,-69
250,-63
250,-71
250,-67
250,-62
250,-63
250,-70
250,-65
250,-68
250,-64
250,-63
250,-64
250,-69
250,-70
250,-69
250,-63
250,-69
250,-69
250,-70
250,-68
250,-63
250,-63
250,-63
250,-69
250,-68
250,-68
250,-62
250,-66
250,-65
250,-67
250,-67
250,-67
250,-67
250,-62
250,-66
250,-68
250,-63
250,-64
250,-67
250,-67
250,-70
250,-66
250,-64
250,-67
250,-68
250,-72
250,-63
250,-69
250,-70
250,-63
250,-64
250,-64
250,-67
250,-67
250,-68
250,-69
250,-64
250,-67
250,-65
250,-65
250,-66
250,-64
250,-63
250,-65
250,-66
250,-67
250,-65
250,-65
250,-64
250,-65
250,-68
