dist,rssi
100,-65
100,-63
100,-70
100,-64
100,-56
100,-65
100,-72
100,-58
100,-52
100,-65
100,-52
100,-70
100,-53
100,-59
100,-53
100,-52
100,-59
100,-59
100,-52
100,-72
100,-53
100,-59
100,-52
100,-71
100,-52
100,-53
100,-59
100,-70
100,-52
100,-72
100,-58
100,-71
100,-58
100,-52
100,-58
100,-71
100,-53
100,-71
100,-58
100,-71
100,-52
100,-70
100,-52
100,-58
100,-68
100,-52
100,-58
100,-52
100,-69
100,-58
100,-69
100,-52
100,-69
100,-69
100,-52
100,-69
100,-52
100,-58
100,-52
100,-58
100,-58
100,-69
100,-58
100,-68
100,-58
100,-68
100,-57
100,-69
100,-58
100,-52
100,-69
100,-52
100,-58
100,-57
100,-52
100,-58
100,-68
100,-52
100,-69
100,-52
100,-69
100,-70
100,-58
100,-68
100,-57
100,-67
100,-52
100,-69
100,-58
100,-52
100,-57
100,-58
100,-57
100,-57
100,-68
100,-57
100,-58
100,-52
100,-58
100,-52
100,-58
100,-51
100,-58
100,-51
100,-58
100,-57
100,-52
100,-57
100,-58
100,-52
100,-57
100,-58
100,-52
100,-51
100,-57
100,-51
100,-69
100,-52
100,-52
100,-57
100,-69
100,-52
100,-58
100,-57
100,-51
100,-57
100,-51
100,-57
100,-69
100,-70
100,-57
100,-68
100,-52
100,-68
100,-58
100,-52
100,-57
100,-51
100,-57
100,-51
100,-69
100,-51
100,-52
100,-68
100,-52
100,-51
100,-57
100,-52
100,-69
100,-58
100,-52
100,-58
100,-69
100,-52
100,-69
100,-51
100,-69
100,-51
100,-69
100,-51
100,-68
100,-58
100,-68
100,-51
100,-57
100,-67
100,-57
100,-51
100,-57
100,-68
100,-57
100,-69
100,-57
100,-57
100,-51
100,-57
100,-68
100,-69
100,-51
100,-69
100,-50
100,-57
100,-52
100,-68
100,-57
100,-69
100,-51
100,-58
100,-52
100,-58
100,-67
100,-58
100,-57
100,-57
100,-51
100,-57
100,-68
100,-51
100,-67
100,-57
100,-57
100,-67
100,-57
100,-67
100,-57
100,-68
100,-52
100,-68
100,-51
100,-69
100,-57
100,-67
100,-57
100,-52
100,-68
100,-52
100,-68
100,-52
100,-68
100,-52
100,-67
100,-58
100,-51
100,-57
100,-51
100,-51
100,-67
100,-57
100,-68
100,-52
100,-69
100,-51
100,-58
100,-66
100,-57
100,-52
100,-68
100,-51
100,-53
100,-69
100,-51
100,-69
100,-51
100,-69
100,-57
100,-57
100,-69
100,-51
100,-69
100,-58
100,-51
100,-57
100,-68
100,-57
100,-57
100,-51
100,-57
100,-51
100,-57
100,-58
100,-57
100,-52
100,-57
100,-51
100,-58
100,-51
100,-57
100,-51
100,-57
100,-51
100,-58
100,-66
100,-51
100,-57
100,-53
100,-51
100,-57
100,-68
100,-51
100,-57
100,-51
100,-57
100,-51
100,-67
100,-51
100,-58
100,-51
100,-57
100,-51
100,-68
100,-51
100,-57
100,-52
100,-68
100,-51
100,-57
100,-51
100,-51
100,-69
100,-57
100,-68
100,-51
100,-67
100,-69
100,-67
100,-67
100,-51
100,-57
100,-67
100,-52
100,-57
100,-53
100,-58
100,-68
100,-57
100,-52
100,-57
100,-69
100,-67
100,-57
100,-51
100,-58
100,-67
100,-51
100,-58
100,-51
100,-69
100,-51
100,-69
100,-52
100,-68
100,-58
100,-51
100,-58
100,-51
100,-58
