x,y,11,12,13
2,2,-55,-57,-60
2,2,-55,-57,-63
2,2,-55,-62,-63
2,2,-55,-62,-63
2,2,-55,-57,-63
2,2,-55,-57,-60
2,2,-55,-62,-60
2,2,-44,-62,-60
2,2,-44,-43,-60
2,2,-53,-43,-60
2,2,-53,-62,-60
2,2,-45,-62,-60
2,2,-45,-62,-60
2,2,-45,-57,-60
2,2,-40,-57,-60
2,2,-40,-57,-64
2,2,-40,-48,-64
2,2,-55,-48,-64
2,2,-55,-48,-61
2,2,-55,-43,-61
2,2,-55,-43,-61
2,2,-55,-43,-64
2,2,-55,-56,-64
2,2,-59,-56,-64
2,2,-59,-48,-64
2,2,-59,-48,-64
2,2,-45,-48,-64
2,2,-45,-48,-61
2,2,-58,-48,-61
2,2,-58,-62,-61
2,2,-58,-62,-50
2,2,-58,-40,-50
2,2,-58,-40,-61
2,2,-58,-62,-61
2,2,-56,-62,-61
2,2,-56,-62,-45
2,2,-41,-62,-45
2,2,-41,-62,-50
2,2,-41,-48,-50
2,2,-59,-48,-50
2,2,-59,-57,-50
2,2,-59,-57,-63
2,2,-53,-57,-63
2,2,-53,-56,-63
2,2,-59,-56,-63
2,2,-59,-43,-63
2,2,-59,-43,-50
2,2,-59,-43,-46
2,2,-59,-40,-46
2,2,-60,-40,-46
2,2,-60,-57,-46
2,2,-60,-57,-64
2,2,-60,-57,-60
2,2,-58,-57,-60
2,2,-58,-57,-60
2,2,-45,-57,-60
2,2,-45,-62,-60
2,2,-41,-62,-60
2,2,-41,-41,-60
2,2,-55,-41,-60
2,2,-55,-41,-61
2,2,-55,-57,-61
2,2,-55,-57,-63
2,2,-41,-57,-63
2,2,-41,-56,-63
2,2,-41,-56,-45
2,2,-44,-56,-45
2,2,-44,-57,-45
2,2,-44,-57,-49
2,2,-41,-57,-49
2,2,-41,-62,-49
2,2,-59,-62,-49
2,2,-59,-57,-49
2,2,-59,-57,-49
2,2,-41,-57,-49
2,2,-41,-57,-45
2,2,-41,-57,-45
2,2,-41,-57,-63
2,2,-55,-57,-63
2,2,-55,-57,-45
2,2,-45,-57,-45
2,2,-45,-56,-45
2,2,-45,-56,-46
2,2,-45,-56,-45
2,2,-55,-56,-45
2,2,-55,-61,-45
2,2,-55,-61,-64
2,2,-59,-61,-64
2,2,-59,-41,-64
2,2,-59,-41,-61
2,2,-40,-41,-61
2,2,-40,-61,-61
2,2,-40,-61,-61
2,2,-59,-61,-61
2,2,-59,-56,-61
2,2,-59,-56,-60
2,2,-40,-56,-60
2,2,-40,-61,-60
2,2,-40,-61,-63
2,2,-40,-56,-63
2,2,-40,-56,-59
2,2,-40,-61,-59
2,2,-41,-61,-59
2,2,-41,-57,-59
2,2,-41,-57,-61
2,2,-44,-57,-61
